SMILES,diff
N1(c2cccc(C)c2)C(=O)\C(\C(C)=N1)=C\NNC(=O)c(cccc3[N+](=O)[O-])c3,58.73
c12n(c3c(cccc3)nc1N4CCCCC4)c(nn2)CCC(=O)NCc(ccc(c56)OCO5)c6,6.39
C1(=NN(C2=O)Cc(cc3)ccc3C=C)N2C=CN(c4cccc(Cl)c4C)C1=O,20.69
c1(nnc2SC(CC)C(=O)Nc3c(F)ccc(F)c3)n2C=CN(c4cccc(OC)c4)C1=O,30.65
c12n(C=CN(c3ccc(cc3)Br)C1=O)c(nn2)SCC(=O)Nc4cccc(F)c4,7.09
C(=S)(N(CC(C)C)CC(C)C)Oc(c(Br)c1)c(Br)cc1C(OC)=O,7.119999999999999
c1(N2)c(cc(c(Br)c1Br)Br)OC2=O,37.58000000000001
c1(N2)c(cc(c(Br)c1Br)Br)OC2=O,27.88000000000001
c1(N2)c(cc(c(Br)c1Br)Br)OC2=O,42.0
c1(N2)c(cc(c(Br)c1Br)Br)OC2=O,32.3
C(=O)(Oc(cc1)ccc1\C=N\NC(=O)c(ccc(n2)C)c2)c3ccccc3Br,39.04
c1(Br)c(Br)c(\C=N\NC(COc2ccccc2OC)=O)cc(O)c1O,77.52
C1(=N2)N(C=CN=C1N(C)CCC)C(N2CC(=O)Nc3cccc(Cl)c3F)=O,10.52
c12n(C=CN(c3ccc(cc3)OCC)C1=O)c(nn2)SCc(cccc4C(F)(F)F)c4,6.19
C1(=N2)N(C=CN=C1N(C)CCC)C(N2CC(=O)Nc(cc3)ccc3C#N)=O,11.62
c12n(C=CN(c3ccc(cc3)F)C1=O)c(nn2)SCc4ccccc4C,10.76
c1(C2=O)n(c3c(cccc3)N2CC(=O)Nc4ccc(cc4C)C)c(nn1)C(C)C,7.369999999999999
C1(=N2)N(C=CN=C1N(CC3)CCO3)C(N2CC(=O)Nc(ccc(c4Cl)OC)c4)=O,6.609999999999999
S(=O)(=O)(N(Cc(cc1F)cc(c1)F)c2cccc(F)c2)c3cccn(c(nn4)C)c34,23.42
c1(C2=O)n(c3c(cccc3)N2CC(=O)Nc4ccccc4CC)c(nn1)C(C)C,8.68
N1(c(cc2)c(OC1=O)cc2S(=O)(=O)Nc3cccc(C)c3)C(=O)NC4CCCCC4,17.77
C(=O)(Nc(cc1)ccc1F)CCN(CC2)CCN2CCO,6.73
C(F)(F)(F)c(ccc(c1NC(COc(cc2)ccc2Cl)=O)Cl)c1,7.29
C(C(C)=O)(C1c(cccc2[N+](=O)[O-])c2)=C(O)C(N1c3ccc(cc3)F)=O,5.67
c(c1c(s2)CCCC1)(C3=O)c2N=C(SCC#N)N3c4ccc(cc4)C,7.29
N1(c2ccc(cc2)Oc(cc3)ccc3Cl)C(c4cccs4)N(N=C1C(C)=O)c5ccccc5,74.78
C(C(OCC)=O)(C(=O)CC(C1C(OCC)=O)=O)C1c2ccc(cc2)OC,12.32
C12=C(CC(c3ccc(c(OC)c3)OC)CC1=O)Nc(c4NC2c5ccc(cc5)NC(C)=O)cccc4,22.1
c(C(c1ccccc1)=O)(sc(c23)nc(cc2c4ccco4)C5CC5)c3N,11.05
N1(C(=O)c2c(C(c3cc(C)ccc3C)=N1)cccc2)c4cc(ccc4[N+](=O)[O-])N5CCCC5,8.47
N1(C(=O)CSC1c2ccccc2)c3cccc(c3)C(=O)NC4(CCCCC4)C(=O)Nc5ccccc5C,26.3
C1(C#N)(CC(c2ccccc2)=O)C(N)=C(C(C)C1(C#N)C#N)C=O,12.83
C(=C(C)NC(=C12)CC(CC1=O)(C)C)(C(=O)Nc3ccccc3C)C2c4ccc(c(F)c4)F,28.94
N1(C(=O)c2c(C(c3ccc(cc3C)C)=N1)cccc2)c4cc(ccc4[N+](=O)[O-])N5CCCC5,9.59
c1(C#N)c(C(CCC=C2)C2)c3c(nc1SCC(c4ccccc4)=O)CCC3,13.61
C(C(OC)=O)(=CN(Cc(cc1)ccc1OC)C=C2C(OC)=O)C2c3cccs3,20.1
c1(SCc(cc2)ccc2C#N)sc(c3n1)cccc3,13.29
c1(cc(ccc1C(C)=O)C(C)(C)C)NC(CC)=O,30.15
N1(c2ccccc2C)C(=O)\C(=C\Nc3sccn3)\C(NC1=O)=O,6.19
N1(CCC(O)=O)C(=O)\C(\SC1=S)=C/c2cc(OC)ccc2OC,32.31
c1(ccc(cc1NC(=O)c2cccs2)[N+](=O)[O-])C(=O)N3CCC(CC3)Cc4ccccc4,6.13
N(C(CCCC(=O)N\N=C\c(cc1)ccc1Br)=O)c2ccccc2Br,7.559999999999999
C(=O)(Nc(cc1)ccc1OCC(=O)N(CC2)CCO2)c3ccccc3SCc(cc4)ccc4F,15.51
c1(CC(NCCO)=O)n(C)c2c(cc(cc2)C)c1Sc3ccccc3,15.0
C(=O)(N(CC1)CCN1c2ccc(cc2F)C(CC)=O)c3c(cccc3F)F,29.78
n1(N)c(C)nnc1N\N=C/c(ccc2c3ccccc3F)o2.Cl.Cl,16.05
C1(=O)Oc(c(cc(c2OC(OC)=O)Br)S1)c2,15.62
N1C(CC2)(CCC2C(C)(C)CC)NN(C)C1=S,5.210000000000001
